Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,8/28/22 4:33,32.3182,-86.9023,1479605,20048,,,1,30176.40574,8142577,,1.354956221,84000001,USA,166067.0972,
Alaska,US,8/28/22 4:33,61.3707,-152.4044,293076,1338,,,2,40062.60722,,,0.456536871,84000002,USA,,
American Samoa,US,8/28/22 4:33,-14.271,-170.132,8168,34,,,60,14679.82243,,,0.41625857,16,ASM,,
Arizona,US,8/28/22 4:33,33.7298,-111.4312,2245713,31047,,,4,30853.14349,20585287,,1.382500792,84000004,USA,282814.7735,
Arkansas,US,8/28/22 4:33,34.9697,-92.3731,929156,11905,,,5,30789.14336,5443077,,1.281270314,84000005,USA,180365.4909,
California,US,8/28/22 4:33,36.1162,-119.6816,11057328,94812,,,6,27984.57581,182506932,,0.857458511,84000006,USA,461899.9341,
Colorado,US,8/28/22 4:33,39.0598,-105.3111,1627006,13151,,,8,28252.83187,19781049,,0.808294499,84000008,USA,343496.368,
Connecticut,US,8/28/22 4:33,41.5978,-72.7554,873137,11197,,,9,24489.9499,14648536,,1.282387529,84000009,USA,410865.5488,
Delaware,US,8/28/22 4:33,39.3185,-75.5071,301797,3042,,,10,30992.82783,3514058,,1.007962306,84000010,USA,360873.6819,
Diamond Princess,US,8/28/22 4:33,,,49,0,,,88888,,,,0,84088888,USA,,
District of Columbia,US,8/28/22 4:33,38.8974,-77.0268,165774,1381,,,11,23489.08748,,,0.833061879,84000011,USA,,
Florida,US,8/28/22 4:33,27.7663,-81.6868,7041916,79573,,,12,32787.04828,62287995,,1.129990758,84000012,USA,290011.9086,
Georgia,US,8/28/22 4:33,33.0406,-83.6431,2852706,39632,,,13,26868.15812,19739514,,1.389277409,84000013,USA,185916.2435,
Grand Princess,US,8/28/22 4:33,,,103,3,,,99999,,,,2.912621359,84099999,USA,,
Guam,US,8/28/22 4:33,13.4443,144.7937,57676,389,,,66,35119.25421,504344,,0.674457313,316,GUM,307098.0156,
Hawaii,US,8/28/22 4:33,21.0943,-157.4983,337737,1632,,,15,23853.63931,4258491,,0.48321623,84000015,USA,300768.0779,
Idaho,US,8/28/22 4:33,44.2405,-114.4788,488067,5107,,,16,27311.09389,1268750,,1.046372732,84000016,USA,70996.2984,
Illinois,US,8/28/22 4:33,40.3495,-88.9861,3670258,39284,,,17,28963.93502,,,1.070333475,84000017,USA,,
Indiana,US,8/28/22 4:33,39.8494,-86.2583,1887358,24411,,,18,28034.70891,20785484,,1.293395318,84000018,USA,308746.4029,
Iowa,US,8/28/22 4:33,42.0115,-93.2105,838125,9907,,,19,26564.38684,,,1.182043251,84000019,USA,,
Kansas,US,8/28/22 4:33,38.5266,-96.7265,859119,8958,,,20,29489.40622,,,1.042696064,84000020,USA,,
Kentucky,US,8/28/22 4:33,37.6681,-84.6701,1530726,16665,,,21,34262.26584,,,1.088699088,84000021,USA,,
Louisiana,US,8/28/22 4:33,31.1695,-91.8678,1422451,17843,,,22,30598.2799,14365350,,1.254384158,84000022,USA,309012.4019,
Maine,US,8/28/22 4:33,44.6939,-69.3819,282106,2508,,,23,20986.71936,4482861,,0.889027529,84000023,USA,333493.6007,
Maryland,US,8/28/22 4:33,39.0639,-76.8021,1218315,15151,,,24,20151.82742,22718531,,1.243602845,84000024,USA,375781.2355,
Massachusetts,US,8/28/22 4:33,42.2302,-71.5301,2005250,21390,,,25,29093.2046,46932454,,1.066699913,84000025,USA,680920.3275,
Michigan,US,8/28/22 4:33,43.3266,-84.5361,2751201,37909,,,26,27548.21662,25870108,,1.377907321,84000026,USA,259041.5383,
Minnesota,US,8/28/22 4:33,45.6945,-93.9002,1630819,13429,,,27,28917.11729,,,0.823451284,84000027,USA,,
Mississippi,US,8/28/22 4:33,32.7416,-89.6787,904905,12766,,,28,30405.23173,,,1.410755825,84000028,USA,,
Missouri,US,8/28/22 4:33,38.4561,-92.2884,1616822,21440,,,29,26255.47705,,,1.327966608,84000029,USA,,
Montana,US,8/28/22 4:33,46.9219,-110.4544,304169,3504,,,30,28459.5117,3043035,,1.151991163,84000030,USA,284720.9617,
Nebraska,US,8/28/22 4:33,41.1254,-98.2681,527989,4455,,,31,27294.60383,,,0.843767578,84000031,USA,,
Nevada,US,8/28/22 4:33,38.3135,-117.0554,832161,11375,,,32,27016.8459,,,1.366922987,84000032,USA,,
New Hampshire,US,8/28/22 4:33,43.4525,-71.5639,343491,2657,,,33,25262.05936,,,0.773528273,84000033,USA,,
New Jersey,US,8/28/22 4:33,40.2989,-74.521,2669786,34529,,,34,30057.74477,31304348,,1.293324634,84000034,USA,352439.5222,
New Mexico,US,8/28/22 4:33,34.8405,-106.2485,609204,8399,,,35,29053.5852,7783032,,1.378684316,84000035,USA,371181.0548,
New York,US,8/28/22 4:33,42.1657,-74.9481,5971180,71012,,,36,30694.53454,117721531,,1.189245677,84000036,USA,605141.2952,
North Carolina,US,8/28/22 4:33,35.6301,-79.8064,3098923,25843,,,37,29547.0841,25186224,,0.833934886,84000037,USA,240141.3261,
North Dakota,US,8/28/22 4:33,47.5289,-99.784,263918,2346,,,38,34632.0903,,,0.888912465,84000038,USA,,
Northern Mariana Islands,US,8/28/22 4:33,15.0979,145.6739,13050,40,,,69,23665.31264,,,0.30651341,580,MNP,,
Ohio,US,8/28/22 4:33,40.3888,-82.7649,3049546,39406,,,39,26088.80068,,,1.292192346,84000039,USA,,
Oklahoma,US,8/28/22 4:33,35.5653,-96.9289,1163366,16644,,,40,29400.41764,,,1.430676159,84000040,USA,,
Oregon,US,8/28/22 4:33,44.572,-122.0709,875409,8383,,,41,20755.41932,12418252,,0.957609529,84000041,USA,294429.2638,
Pennsylvania,US,8/28/22 4:33,40.5908,-77.2098,3167638,46596,,,42,24743.32699,27432313,,1.471001421,84000042,USA,214281.648,
Puerto Rico,US,8/28/22 4:33,18.2208,-66.5901,918041,4950,,,72,28745.42771,4582431,,0.539191605,630,PRI,143483.7214,
Rhode Island,US,8/28/22 4:33,41.6809,-71.5118,416638,3643,,,44,39329.18052,8321119,,0.874380157,84000044,USA,785484.7403,
South Carolina,US,8/28/22 4:33,33.8569,-80.945,1661020,18245,,,45,32260.87136,12808249,,1.098421452,84000045,USA,248765.9831,
South Dakota,US,8/28/22 4:33,44.2998,-99.4388,256255,2984,,,46,28966.52835,1386374,,1.164465084,84000046,USA,156712.8125,
Tennessee,US,8/28/22 4:33,35.7478,-86.6923,2284225,27389,,,47,33448.04218,13631098,,1.199050006,84000047,USA,199600.9766,
Texas,US,8/28/22 4:33,31.0545,-97.5635,7812221,90182,,,48,26942.51987,52077051,,1.154370825,84000048,USA,179601.5475,
Utah,US,8/28/22 4:33,40.15,-111.8624,1026812,4968,,,49,32028.24242,6412487,,0.483827614,84000049,USA,200017.8106,
Vermont,US,8/28/22 4:33,44.0459,-72.7107,139769,707,,,50,22399.27306,3799761,,0.505834627,84000050,USA,608946.7923,
Virgin Islands,US,8/28/22 4:33,18.3358,-64.8963,22547,122,,,78,21019.31611,458717,,0.541091941,850,VIR,427636.3874,
Virginia,US,8/28/22 4:33,37.7693,-78.17,2028479,21356,,,51,23765.15125,14716711,,1.052808533,84000051,USA,172417.2953,
Washington,US,8/28/22 4:33,47.4009,-121.4905,1778421,14005,,,53,23354.51069,,,0.787496324,84000053,USA,,
West Virginia,US,8/28/22 4:33,38.4912,-80.9545,578535,7268,,,54,32281.67109,6855086,,1.25627663,84000054,USA,382506.9037,
Wisconsin,US,8/28/22 4:33,44.2685,-89.6165,1826082,15042,,,55,31362.86302,17625826,,0.823730807,84000055,USA,302722.6414,
Wyoming,US,8/28/22 4:33,42.756,-107.3025,174213,1877,,,56,30101.13018,1494874,,1.077416726,84000056,USA,258289.5471,
